"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1950920681757241703","Thu Jul 31 23:46:51 +0000 2025","0","@tempodotco Hanya di Indonesia orang bunuh diri dengan melakban mukanya sendiri dan berselimut","1951067063000375479","","tempodotco","in","","0","0","0","https://x.com/undefined/status/1951067063000375479","2811426920",
"1951044734933410044","Thu Jul 31 23:45:05 +0000 2025","0","@mohmahfudmd Intervensi juga itu kasus pejabat Kemenlu yg katanya bunuh diri KLO bisa...","1951066619217625490","","mohmahfudmd","in","","0","0","0","https://x.com/undefined/status/1951066619217625490","782962719943041024",
"1950920681757241703","Thu Jul 31 23:37:58 +0000 2025","0","@tempodotco Lah emang bunuh diri gak mungkin maksain ada tersangka","1951064828333924630","","tempodotco","in","","0","0","0","https://x.com/undefined/status/1951064828333924630","207898055",
"1950920681757241703","Thu Jul 31 23:36:56 +0000 2025","3","@tempodotco Klo emang niat bunuh diri kenapa gak dibuang dulu itu alat kontrasepsi? Emang gak takut ketauan istri? ","1951064566575800827","","tempodotco","in","","0","2","0","https://x.com/undefined/status/1951064566575800827","1142570899129847809",
"1947823129033654579","Thu Jul 31 23:28:18 +0000 2025","2","@faridaffy Mental health kat tempat kerja bukan benda kecik semua tu boleh buat org rasa nk bunuh diri. Dlm masa yg sama PruBSN dh ada coverage for mental health treatments setahun RM5 000. Jadi if you guys belun diuji dgn masalah mental. Boleh ambik PruBSN https://t.co/UOva0NmUtA https://t.co/jTcfd9xwjl","1951062392751997325","https://pbs.twimg.com/media/GxOQ6C3aIAI6gaG.jpg","faridaffy","in","","0","1","0","https://x.com/undefined/status/1951062392751997325","2816212116",
"1951061351826354499","Thu Jul 31 23:24:09 +0000 2025","0","Orang bunuh diri ga akan melakukan hal merepotkan untuk membunuh dirinya sendiri dan memilih kematian yang paling cepat dan tidak menyakitkan dasar aneh udah dibunuh dimanipulatif udah pada kaga punya tuhan emang orang sekarang","1951061351826354499","","","in","","0","0","0","https://x.com/undefined/status/1951061351826354499","828662635772080128",
"1950969312706977973","Thu Jul 31 23:23:43 +0000 2025","1","@DeningCarlo Lha ini bli...yang di benak saya....orang bunuh diri aja misal gantung aja posisi bisa melet...beda ketika di bunuh lalu di gantung....lha ini di lakban...trus ga bisa napas tidur bisa rapi di kasur....nalarnya bawah sadarnya pasti meronta saat kekurNgan oksigen...","1951061242837344435","","DeningCarlo","in","","0","1","0","https://x.com/undefined/status/1951061242837344435","844145068906692608",
"1950913333327991142","Thu Jul 31 23:18:30 +0000 2025","0","@Mdy_Asmara1701 Ini pertama kali ditemukan ada kain yg nutupin kepala yg dilakban..spa yg nutupin klo Dy bunuh diri","1951059927000371686","","Mdy_Asmara1701","in","","0","0","0","https://x.com/undefined/status/1951059927000371686","1810846077396078594",
"1950920681757241703","Thu Jul 31 23:15:01 +0000 2025","0","@shiroswanie @sawerkendi @tempodotco yes bener agak susah diterima kalo bunuh diri ya karena buktinya itu beberapa janggal","1951059053028974905","","shiroswanie","in","","0","0","0","https://x.com/undefined/status/1951059053028974905","313083173",
"1950806697381154847","Thu Jul 31 23:05:39 +0000 2025","0","@alotsofweird @MuhadklyAcho kalau pikirannya kaya gitu hasilnya selangkah........bunuh diri padahal logikanya ngga masuk akal masa bunuh diri...........","1951056694764773760","","alotsofweird","in","","0","0","0","https://x.com/undefined/status/1951056694764773760","1908495122033184768",
"1950798581410959572","Thu Jul 31 23:04:00 +0000 2025","0","@tempodotco Jd inget kasus Akseyna dulu awalnya jg dibilang bunuh diri","1951056277838373029","","tempodotco","in","","0","0","0","https://x.com/undefined/status/1951056277838373029","1668073661675470850",
"1951055888858632474","Thu Jul 31 23:02:27 +0000 2025","2","Sedikit Terkuak! Dibalik Kematian Dua Bocah di Pantai Sigandu Sang Ibu Ternyata Berniat Bunuh Diri Massal KORBAN https://t.co/EFgestupxL Misteri di balik tewasnya dua bocah perempuan di Pantai Sigandu Kabupaten Batang Jawa Tengah mulai sedikit terungkap. https://t.co/kALv4OoIoB","1951055888858632474","https://pbs.twimg.com/media/GxOK-7QaIAAkDY1.png","","in","","0","1","0","https://x.com/undefined/status/1951055888858632474","1924316715535757312",
"1950739071728574908","Thu Jul 31 22:59:37 +0000 2025","0","@sked311 Kayaknya gara2 ini kita ngak bisa nonton lagi conan di tv (biar ngak pada nanya kenapa yg kayak gini disebut bunuh diri wkwkwk)","1951055176137318588","","sked311","in","","0","0","0","https://x.com/undefined/status/1951055176137318588","1642158636129730560",
"1951054076382421312","Thu Jul 31 22:55:15 +0000 2025","4","sulit ye menjalankan penegakan hukum &amp; mewujudkan lembaga peradilan yang gak korup sial mau bilang oknum tp kebanyakan jaksa hakim pada begini anyingg kata aku kalo si hakim mau bunuh diri gara2 voice note nekat di putar biarin. mati aja bener dlm jeratan dosa tanpa ampun","1951054076382421312","","","in","","0","0","1","https://x.com/undefined/status/1951054076382421312","1141557705846353921",
"1951053774937792760","Thu Jul 31 22:54:03 +0000 2025","1","Bunuh diri pakai cara begini apa nggak nyerah dulu milih buat hidup susah woyyy belum jadi mati dah capek duluan","1951053774937792760","","","in","","0","0","0","https://x.com/undefined/status/1951053774937792760","835163166",
"1951052973469212815","Thu Jul 31 22:50:52 +0000 2025","0","gw baru tadi baca2 kasus alm. adp semua orang juga tau kasus ini bukan sesederhana mati bunuh diri cuman org2 bodoh yg nganggep ky gitu","1951052975801245824","","miadmeliora","in","","0","0","0","https://x.com/undefined/status/1951052975801245824","1780172933568327680",
